Round,Day,Date,Time,First_Team_Name,First_Team_Score,First_Team_Win_Status,Second_Team_Name,Second_Team_Score,Location,Crowd_Attendance
1,Thursday,16 March,7:20 pm,Richmond,58,drew with,Carlton,58,Melbourne Cricket Ground,"88,084"
1,Friday,17 March,7:40 pm,Geelong,103,def. by,Collingwood,125,Melbourne Cricket Ground,"86,595"
1,Saturday,18 March,1:45 pm,North Melbourne,87,def.,West Coast,82,Marvel Stadium,"21,274"
1,Saturday,18 March,4:05 pm,Port Adelaide,126,def.,Brisbane Lions,72,Adelaide Oval,"34,255"
1,Saturday,18 March,7:25 pm,Melbourne,115,def.,Western Bulldogs,65,Melbourne Cricket Ground,"48,103"
1,Saturday,18 March,7:00 pm,Gold Coast,61,def. by,Sydney,110,Heritage Bank Stadium,"13,648"
1,Sunday,19 March,1:10 pm,Greater Western Sydney,106,def.,Adelaide,90,Giants Stadium,"8,169"
1,Sunday,19 March,3:20 pm,Hawthorn,65,def. by,Essendon,124,Melbourne Cricket Ground,"68,691"
1,Sunday,19 March,4:40 pm,St Kilda,67,def.,Fremantle,52,Marvel Stadium,"23,429"
2,Thursday,23 March,7:20 pm,Carlton,90,def.,Geelong,82,Melbourne Cricket Ground,"55,861"
2,Friday,24 March,6:55 pm,Brisbane Lions,93,def.,Melbourne,82,The Gabba,"30,047"
2,Saturday,25 March,1:45 pm,Collingwood,135,def.,Port Adelaide,64,Melbourne Cricket Ground,"60,744"
2,Saturday,25 March,4:05 pm,Adelaide,76,def. by,Richmond,108,Adelaide Oval,"38,492"
2,Saturday,25 March,7:25 pm,Western Bulldogs,41,def. by,St Kilda,92,Marvel Stadium,"33,294"
2,Saturday,25 March,4:30 pm,Fremantle,72,def. by,North Melbourne,73,Optus Stadium,"40,487"
2,Sunday,26 March,1:10 pm,Sydney,118,def.,Hawthorn,37,Sydney Cricket Ground,"37,052"
2,Sunday,26 March,3:20 pm,Essendon,108,def.,Gold Coast,80,Marvel Stadium,"32,915"
2,Sunday,26 March,3:20 pm,West Coast,100,def.,Greater Western Sydney,81,Optus Stadium,"44,649"
3,Thursday,30 March,7:20 pm,Western Bulldogs,67,def.,Brisbane Lions,53,Marvel Stadium,"23,665"
3,Friday,31 March,7:50 pm,Collingwood,63,def.,Richmond,49,Melbourne Cricket Ground,"85,241"
3,Saturday,1 April,1:45 pm,Hawthorn,80,def.,North Melbourne,61,University of Tasmania Stadium,"11,007"
3,Saturday,1 April,4:35 pm,Greater Western Sydney,64,def. by,Carlton,74,Giants Stadium,"9,691"
3,Saturday,1 April,7:25 pm,St Kilda,92,def.,Essendon,74,Melbourne Cricket Ground,"69,255"
3,Saturday,1 April,7:30 pm,Port Adelaide,86,def. by,Adelaide,117,Adelaide Oval,"48,962"
3,Sunday,2 April,2:10 pm,Gold Coast,73,def.,Geelong,54,Heritage Bank Stadium,"13,122"
3,Sunday,2 April,3:20 pm,Melbourne,134,def.,Sydney,84,Melbourne Cricket Ground,"42,423"
3,Sunday,2 April,3:20 pm,Fremantle,108,def.,West Coast,67,Optus Stadium,"56,090"
4,Thursday,6 April,7:35 pm,Brisbane Lions,116,def.,Collingwood,83,The Gabba,"33,565"
4,Friday,7 April,4:20 pm,North Melbourne,84,def. by,Carlton,107,Marvel Stadium,"49,062"
4,Saturday,8 April,1:15 pm,Adelaide,111,def.,Fremantle,72,Adelaide Oval,"33,725"
4,Saturday,8 April,4:35 pm,Richmond,84,def. by,Western Bulldogs,89,Melbourne Cricket Ground,"56,449"
4,Saturday,8 April,7:30 pm,Sydney,64,def. by,Port Adelaide,66,Sydney Cricket Ground,"31,686"
4,Saturday,8 April,7:30 pm,St Kilda,113,def.,Gold Coast,60,Marvel Stadium,"21,049"
4,Sunday,9 April,2:10 pm,Essendon,88,def.,Greater Western Sydney,75,Marvel Stadium,"28,815"
4,Sunday,9 April,3:20 pm,West Coast,63,def. by,Melbourne,126,Optus Stadium,"42,458"
4,Monday,10 April,3:20 pm,Geelong,127,def.,Hawthorn,45,Melbourne Cricket Ground,"65,335"
5,Thursday,13 April,7:10 pm,Adelaide,118,def.,Carlton,62,Adelaide Oval,"47,395"
