League,Round,Day,Date,Time,First_Team_Name,First_Team_Score,First_Team_Win_Status,Second_Team_Name,Second_Team_Score,Location,Crowd_Attendance
AFL-M,7,Friday,28 April,7:50 pm,St Kilda,76,def. by,Port Adelaide,83,Marvel Stadium,25845
AFL-M,7,Saturday,29 April,1:45 pm,Brisbane Lions,115,def.,Fremantle,67,The Gabba,25528
AFL-M,7,Saturday,29 April,2:10 pm,Sydney,106,def. by,Greater Western Sydney,107,Sydney Cricket Ground,31615
AFL-M,7,Saturday,29 April,4:35 pm,Western Bulldogs,94,def.,Hawthorn,65,Marvel Stadium,40119
AFL-M,7,Saturday,29 April,7:25 pm,Melbourne,139,def.,North Melbourne,49,Melbourne Cricket Ground,29455
AFL-M,7,Saturday,29 April,5:30 pm,West Coast,44,def. by,Carlton,152,Optus Stadium,47940
AFL-M,7,Sunday,30 April,1:10 pm,Essendon,104,def. by,Geelong,132,Melbourne Cricket Ground,67457
AFL-M,7,Sunday,30 April,3:20 pm,Richmond,48,def. by,Gold Coast,72,Marvel Stadium,23664
AFL-M,7,Sunday,30 April,4:10 pm,Adelaide,58,def. by,Collingwood,59,Adelaide Oval,43942
AFL-M,8,Friday,5 May,7:50 pm,Carlton,74,def. by,Brisbane Lions,100,Marvel Stadium,45458
AFL-M,8,Saturday,6 May,1:45 pm,Richmond,104,def.,West Coast,58,Melbourne Cricket Ground,28293
AFL-M,8,Saturday,6 May,2:10 pm,Geelong,98,def.,Adelaide,72,GMHBA Stadium,21415
AFL-M,8,Saturday,6 May,4:35 pm,Gold Coast,85,def. by,Melbourne,90,Heritage Bank Stadium,11440
AFL-M,8,Saturday,6 May,7:30 pm,Greater Western Sydney,71,def. by,Western Bulldogs,86,Manuka Oval,10039
AFL-M,8,Saturday,6 May,5:30 pm,Fremantle,117,def.,Hawthorn,48,Optus Stadium,37160
AFL-M,8,Sunday,7 May,12:40 pm,Port Adelaide,92,def.,Essendon,87,Adelaide Oval,36247
AFL-M,8,Sunday,7 May,3:20 pm,Collingwood,77,def.,Sydney,48,Melbourne Cricket Ground,71463
AFL-M,8,Sunday,7 May,4:40 pm,North Melbourne,34,def. by,St Kilda,64,Marvel Stadium,22065
AFL-M,9,Friday,12 May,7:20 pm,Richmond,102,def.,Geelong,78,Melbourne Cricket Ground,58141
AFL-M,9,Friday,12 May,6:40 pm,West Coast,43,def. by,Gold Coast,113,Optus Stadium,36219
AFL-M,9,Saturday,13 May,1:45 pm,Sydney,86,def. by,Fremantle,103,Sydney Cricket Ground,28927
AFL-M,9,Saturday,13 May,2:10 pm,North Melbourne,65,def. by,Port Adelaide,135,Blundstone Arena,6310
AFL-M,9,Saturday,13 May,4:35 pm,Hawthorn,49,def. by,Melbourne,103,Melbourne Cricket Ground,39818
